type	time	latitude	longitude	name	id
T	2025-02-19 11:01:33	19.193378985	99.880537931		921
T	2025-02-19 11:01:36	19.193560760	99.880249678		922
T	2025-02-19 11:01:39	19.193747235	99.879941184		923
T	2025-02-19 11:01:42	19.193935782	99.879610293		924
T	2025-02-19 11:01:45	19.194147854	99.879283506		925
T	2025-02-19 11:01:48	19.194354300	99.878936480		926
T	2025-02-19 11:01:51	19.194567436	99.878587224		927
T	2025-02-19 11:01:54	19.194766482	99.878244110		928
T	2025-02-19 11:01:58	19.195004326	99.877816548		929
T	2025-02-19 11:02:02	19.195244301	99.877429914		930
T	2025-02-19 11:02:05	19.195418604	99.877145461		931
T	2025-02-19 11:02:08	19.195623443	99.876845253		932
T	2025-02-19 11:02:11	19.195821926	99.876499407		933
T	2025-02-19 11:02:14	19.196062864	99.876164182		934
T	2025-02-19 11:02:16	19.196238921	99.875938847		935
T	2025-02-19 11:02:17	19.196328885	99.875824351		936
T	2025-02-19 11:02:20	19.196610709	99.875494013		937
T	2025-02-19 11:02:23	19.196916300	99.875177385		938
T	2025-02-19 11:02:26	19.197223750	99.874869731		939
T	2025-02-19 11:02:29	19.197535638	99.874592530		940
T	2025-02-19 11:02:32	19.197853551	99.874329914		941
T	2025-02-19 11:02:35	19.198181347	100.874061208		942
T	2025-02-19 11:02:38	19.198515844	99.873791902		943
T	2025-02-19 11:02:41	19.198852845	99.873520653		944
T	2025-02-19 11:02:44	19.199184580	99.873248023		945
T	2025-02-19 11:02:47	19.199556939	99.873001323		946
T	2025-02-19 11:02:50	19.199927996	99.872777629		947
T	2025-02-19 11:02:53	19.200338370	99.872576835		948
T	2025-02-19 11:02:56	19.200755297	99.872406680		949
T	2025-02-19 11:02:59	19.201181705	99.872277165		950
T	2025-02-19 11:03:02	19.201613295	99.872169804		951
T	2025-02-19 11:03:05	19.202044217	99.872072256		952
T	2025-02-19 11:03:08	19.202456533	99.871988749		953
T	2025-02-19 11:03:11	19.202861994	99.871888291		954
T	2025-02-19 11:03:14	19.203218687	99.871814423		955
T	2025-02-19 11:03:18	19.203670956	99.871736153		956
T	2025-02-19 11:03:22	19.204124761	99.871649275		957
T	2025-02-19 11:03:26	19.204506180	99.871564882		958
T	2025-02-19 11:03:30	19.204779837	99.871511770		959
T	2025-02-19 11:03:36	19.204964201	99.871477454		960
T	2025-02-19 11:03:39	19.204929018	99.871247396		961
T	2025-02-19 11:03:43	19.204855743	99.871037450		962
T	2025-02-19 11:03:46	19.204797793	99.870843525		963
T	2025-02-19 11:03:49	19.204735634	99.870608783		964
T	2025-02-19 11:03:53	19.204629667	99.870293073		965
T	2025-02-19 11:03:57	19.204481931	99.869962642		966
T	2025-02-19 11:04:00	19.204338461	99.869689118		967
T	2025-02-19 11:04:03	19.204192485	99.869404787		968
T	2025-02-19 11:04:06	19.204089735	99.869097660		969
T	2025-02-19 11:04:09	19.203969669	99.868800310		970
T	2025-02-19 11:04:12	19.203865306	99.868510258		971
T	2025-02-19 11:04:15	19.203757907	99.868219028		972
T	2025-02-19 11:04:18	19.203649829	99.867925968		973
T	2025-02-19 11:04:21	19.203546316	99.867639517		974
T	2025-02-19 11:04:24	19.203422962	99.867346567		975
T	2025-02-19 11:04:27	19.203309054	99.867027424		976
T	2025-02-19 11:04:30	19.203184729	99.866690180		977
T	2025-02-19 11:04:33	19.203045939	99.866331693		978
T	2025-02-19 11:04:36	19.202916624	99.865969107		979
T	2025-02-19 11:04:39	19.202776655	99.865607163		980
T	2025-02-19 11:04:42	19.202631943	99.865253855		981
T	2025-02-19 11:04:45	19.202501579	99.864894921		982
T	2025-02-19 11:04:48	19.202352491	99.864535402		983
T	2025-02-19 11:04:51	19.202223671	99.864162324		984
T	2025-02-19 11:04:54	19.202085352	99.863778707		985
T	2025-02-19 11:04:57	19.201925087	99.863386174		986
T	2025-02-19 11:05:00	19.201784465	99.862985364		987
T	2025-02-19 11:05:03	19.201731687	99.862571013		988
T	2025-02-19 11:05:06	19.201721780	99.862156274		989
T	2025-02-19 11:05:09	19.201706595	99.861753681		990
T	2025-02-19 11:05:12	19.201704847	99.861371496		991
T	2025-02-19 11:05:15	19.201663868	99.860968369		992
T	2025-02-19 11:05:18	19.201639332	99.860571675		993
T	2025-02-19 11:05:21	19.201609170	99.860165839		994
T	2025-02-19 11:05:24	19.201591707	99.859756950		995
T	2025-02-19 11:05:27	19.201576307	99.859345556		996
T	2025-02-19 11:05:30	19.201552085	99.858928603		997
T	2025-02-19 11:05:33	19.201499837	99.858515306		998
T	2025-02-19 11:05:36	19.201399124	99.858125982		999
T	2025-02-19 11:05:39	19.201262920	99.857753520		1000
T	2025-02-19 11:05:42	19.201175798	99.857379364		1001
T	2025-02-19 11:05:45	19.201145880	99.856999750		1002
T	2025-02-19 11:05:49	19.201134659	99.856510050		1003
T	2025-02-19 11:05:53	19.201096451	99.856010821		1004
T	2025-02-19 11:05:57	19.200957812	99.855551604		1005
T	2025-02-19 11:06:01	19.200747665	99.855149412		1006
T	2025-02-19 11:06:04	19.200673857	99.854870144		1007
T	2025-02-19 11:06:08	19.200746565	99.854504260		1008
T	2025-02-19 11:06:12	19.200920174	99.854191486		1009
T	2025-02-19 11:06:16	19.200863614	99.853845899		1010
T	2025-02-19 11:06:19	19.200727063	99.853585631		1011
T	2025-02-19 11:06:22	19.200583112	99.853305278		1012
T	2025-02-19 11:06:25	19.200479356	99.852988649		1013
T	2025-02-19 11:06:28	19.200406125	99.852667460		1014
T	2025-02-19 11:06:31	19.200336282	99.852335334		1015
T	2025-02-19 11:06:34	19.200222456	99.852012861		1016
T	2025-02-19 11:06:37	19.200062756	99.851700059		1017
T	2025-02-19 11:06:40	19.199873987	99.851394656		1018
T	2025-02-19 11:06:44	19.199647207	99.850960633		1019
T	2025-02-19 11:06:48	19.199479106	99.850510892		1020
T	2025-02-19 11:06:52	19.199418050	99.850038420		1021
T	2025-02-19 11:06:55	19.199498838	99.849697481		1022
T	2025-02-19 11:06:58	19.199625300	99.849410703		1023
T	2025-02-19 11:07:01	19.199702917	99.849120231		1024
T	2025-02-19 11:07:04	19.199689720	99.848810633		1025
T	2025-02-19 11:07:07	19.199577870	99.848501556		1026
